,User,Original Tweet
83,GRUZ200_300,"RT @OnfireUkraine: 44 ОАБ им. гетмана Даниила Апостола отработала по  блиндажу орков, отправив немало кацапов на тот свет #HIMARS #SlavaUkr…"
84,FuckPutinBot,"Иди трахнуйся, Путин!
(Russian)

#RussiaWarCrimes #UkraineRussiaWar #Ukraine #StopRussianAggression"
85,GRUZ200_300,RT @OnfireUkraine: Ротация орка прямо в космос прошла успешно #HIMARS #SlavaUkraine #UkraineRussiaWar #Ukraine #HelpUkraine #UkraineUnderAt…
86,GRUZ200_300,RT @OnfireUkraine: Уничтожение российской гаубицы Гиацинт-Б.#HIMARS #SlavaUkraine #UkraineRussiaWar #Ukraine #HelpUkraine #UkraineUnderAtta…
87,GRUZ200_300,"RT @OnfireUkraine: Порядка 20 грузовиков с телами украинских военнослужащих в настоящее время готовят для отправки на Украину бойцы ЧВК ""Ва…"
88,GRUZ200_300,RT @OnfireUkraine: ВСУ нанесли артиллерийский удар по гражданской инфраструктуре Новой Каховки.#HIMARS #SlavaUkraine #UkraineRussiaWar #Ukr…
89,GRUZ200_300,"RT @OnfireUkraine: Артиллеристы ВСУ работают из трофейной 120-мм гаубицы Нона-К.
Это орудие довольно редкое, ибо существует лишь в 188 экзе…"
90,GRUZ200_300,"RT @OnfireUkraine: Первая и единственная на данный момент уничтоженная российская 300-мм РСЗО ""Смерч"" в г. Изюм Харьковской области #HIMARS…"
91,GRUZ200_300,RT @OnfireUkraine: M142 HIMARS работает по противнику #HIMARS #SlavaUkraine #UkraineRussiaWar #Ukraine #HelpUkraine #UkraineUnderAttack #St…
92,GRUZ200_300,"RT @OnfireUkraine: Она: «давай купим котёнка, он же такой милый и неприхотливый». 
Котёнок: пись, пись))) #HIMARS #SlavaUkraine #UkraineRus…"
93,lussi100,"RT @garaevruslan02: Мигрантов из Кыргызстана и Таджикистана, получивших российское гражданство, перестали выпускать из России под предлогом…"
94,PiotrKaOnLine,"RT @War2022ua: Чтобы меньше по чужим полям лазили
#ukrainecounteroffensive #Ukraine #Kherson #Soledar #Wagner #ATACMS #Bakhmut #HIMARS #Kra…"
95,WWWUKRAJINA,RT @BlondinkaLubov: @ok_ukraine Дело Меркель продолжает
96,sukutyra,"RT @vikschum: Первый шаг сделан

""Леопарды поедут в Украину:
после угроз Польши поставить ""Леопарды""
без согласия ФРГ министр иностранных д…"
97,IVynogradna,"RT @finanzru: Разведка США: Путин потерял в Украине почти всю армию, собранную перед 24 февраля

188 тысяч убитыми и ранеными - такую цифру…"
98,MaYa_Ukraine,"RT @SIKORA_slava: ""Ты платишь 14 долларов в месяц за победу над Россией при этом не теряя ни единого американского солдата"" - американец о…"
99,uatime_net,"Бербок: если Польша отправит Украине свои танки Leopard 2, Германия не будет препятствовать 
https://t.co/oiC19nBlyY"
100,KM777888,"RT @Dialog_UA: ""Я отозвал извинения"", - Арестович вернулся к словам о ракете в Днепре и сделал новое заявление   https://t.co/Ho399EDPaG ht…"
101,HMeWMnt2UYNP5uX,"RT @Dialog_UA: ""Народ, я просто устал"", - Арестович сделал новое заявление после скандала с ракетой россиян по Днепру   https://t.co/ognFbw…"
102,KM777888,RT @Dialog_UA: В Грузии объяснили отказ предоставлять военную помощь Украине   https://t.co/ZQtPpBqSIC https://t.co/AZ23DEx7Le
103,dw_russian,"Посол Украины в Германии Алексей Макеев призвал Берлин как можно скорее поставить Киеву германские боевые танки Leopard 2. ""Немецкое вооружение, немецкие танки жизненно важны"", - подчеркнул Макеев
https://t.co/rgxTKqVzS3"
104,DimaJeans,"RT @PowerNaShary: Эта война разделила мир на людей и такое. После начала войны 24 февраля Мадина, которая родом из Казахстана, бросила рабо…"
105,sergeizver2008,"RT @War2022ua: Оккупанты заняли промзону у рудника №7 в Соледаре, которую ранее удерживали ВСУ, - Мадяр о ситуации в Соледаре
#ukrainecount…"
